Sentence_ID	Token	BIO_Tag
250	Discharged	O
250	with	O
250	a	O
250	prescription	O
250	for	O
250	Lisinopril	B-CHEMICAL
250	and	O
250	instructions	O
250	to	O
250	return	O
250	if	O
250	rheumatoid	B-DISEASE
250	arthritis	I-DISEASE
250	symptoms	O
250	persist	O
250	.	O
		
434	Emergency	O
434	EEG	O
434	was	O
434	performed	O
434	on	O
434	the	O
434	left	O
434	knee	O
434	due	O
434	to	O
434	suspected	O
434	bronchial	B-DISEASE
434	asthma	I-DISEASE
434	.	O
		
20	Probable	O
20	ototoxicity	B-DISEASE
20	is	O
20	reported	O
20	following	O
20	prolonged	O
20	treatment	O
20	with	O
20	aminoglycoside	B-CHEMICAL
20	antibiotics	O
20	.	O
		
323	Advised	O
323	the	O
323	patient	O
323	to	O
323	increase	O
323	dosage	O
323	of	O
323	Pantoprazole	B-CHEMICAL
323	due	O
323	to	O
323	worsening	O
323	bronchial	B-DISEASE
323	asthma	I-DISEASE
323	.	O
		
333	Patient	O
333	is	O
333	currently	O
333	on	O
333	Pantoprazole	B-CHEMICAL
333	for	O
333	the	O
333	management	O
333	of	O
333	major	O
333	depressive	B-DISEASE
333	disorder	I-DISEASE
333	.	O
		
57	The	O
57	patient	O
57	refuses	O
57	to	O
57	take	O
57	tricyclic	O
57	antidepressants	B-CHEMICAL
57	despite	O
57	the	O
57	diagnosis	O
57	of	O
57	major	B-DISEASE
57	depression	I-DISEASE
57	.	O
		
302	Patient	O
302	is	O
302	currently	O
302	on	O
302	Aspirin	B-CHEMICAL
302	for	O
302	the	O
302	management	O
302	of	O
302	osteoarthritis	B-DISEASE
302	.	O
		
230	The	O
230	patient	O
230	presents	O
230	with	O
230	symptoms	O
230	indicative	O
230	of	O
230	psoriasis	B-DISEASE
230	.	O
230	Treatment	O
230	with	O
230	Amlodipine	B-CHEMICAL
230	is	O
230	recommended	O
230	.	O
		
332	Emergency	O
332	echocardiogram	O
332	was	O
332	performed	O
332	on	O
332	the	O
332	brain	O
332	due	O
332	to	O
332	suspected	O
332	osteoarthritis	B-DISEASE
332	.	O
		
133	Patient	O
133	denies	O
133	any	O
133	history	O
133	of	O
133	type	O
133	2	O
133	diabetes	B-DISEASE
133	but	O
133	reports	O
133	mild	O
133	discomfort	O
133	in	O
133	the	O
133	brain	O
133	.	O
		
138	The	O
138	colonoscopy	O
138	revealed	O
138	abnormalities	O
138	in	O
138	the	O
138	chest	O
138	,	O
138	suggesting	O
138	early-stage	B-DISEASE
138	type	I-DISEASE
138	2	I-DISEASE
138	diabetes	I-DISEASE
138	.	O
		
424	Patient	O
424	is	O
424	currently	O
424	on	O
424	Losartan	B-CHEMICAL
424	for	O
424	the	O
424	management	O
424	of	O
424	bronchial	B-DISEASE
424	asthma	I-DISEASE
424	.	O
		
336	The	O
336	spirometry	O
336	revealed	O
336	abnormalities	O
336	in	O
336	the	O
336	pelvis	O
336	,	O
336	suggesting	O
336	early-stage	O
336	migraine	B-DISEASE
336	.	O
		
26	Chest	O
26	X-ray	O
26	shows	O
26	no	O
26	active	O
26	bronchopneumonia	B-DISEASE
26	foci	O
26	.	O
		
465	Patient	O
465	is	O
465	currently	O
465	on	O
465	Omeprazole	B-CHEMICAL
465	for	O
465	the	O
465	management	O
465	of	O
465	hypertension	B-DISEASE
465	.	O
		
282	No	O
282	evidence	O
282	of	O
282	COPD	B-DISEASE
282	was	O
282	found	O
282	during	O
282	the	O
282	last	O
282	echocardiogram	O
282	.	O
		
248	Discharged	O
248	with	O
248	a	O
248	prescription	O
248	for	O
248	Omeprazole	B-CHEMICAL
248	and	O
248	instructions	O
248	to	O
248	return	O
248	if	O
248	chronic	B-DISEASE
248	kidney	I-DISEASE
248	disease	I-DISEASE
248	symptoms	O
248	persist	O
248	.	O
		
238	Patient	O
238	denies	O
238	any	O
238	history	O
238	of	O
238	bronchial	B-DISEASE
238	asthma	I-DISEASE
238	but	O
238	reports	O
238	mild	O
238	discomfort	O
238	in	O
238	the	O
238	thyroid	O
238	gland	O
238	.	O
		
118	The	O
118	patient	O
118	presents	O
118	with	O
118	symptoms	O
118	indicative	O
118	of	O
118	bronchial	B-DISEASE
118	asthma	I-DISEASE
118	.	O
118	Treatment	O
118	with	O
118	Sertraline	B-CHEMICAL
118	is	O
118	recommended	O
118	.	O
		
43	A	O
43	widespread	O
43	skin	B-DISEASE
43	rash	I-DISEASE
43	is	O
43	reported	O
43	following	O
43	the	O
43	intake	O
43	of	O
43	Penicillin	B-CHEMICAL
43	.	O
		
221	The	O
221	endoscopy	O
221	revealed	O
221	abnormalities	O
221	in	O
221	the	O
221	lumbar	O
221	spine	O
221	,	O
221	suggesting	O
221	early-stage	B-DISEASE
221	osteoarthritis	I-DISEASE
221	.	O
		
177	A	O
177	recent	O
177	biopsy	O
177	of	O
177	the	O
177	chest	O
177	confirmed	O
177	the	O
177	presence	O
177	of	O
177	migraine	B-DISEASE
177	.	O
		
321	The	O
321	blood	O
321	chemistry	O
321	panel	O
321	revealed	O
321	abnormalities	O
321	in	O
321	the	O
321	cervical	O
321	spine	O
321	,	O
321	suggesting	O
321	early-stage	O
321	hyperlipidemia	B-DISEASE
321	.	O
		
154	Advised	O
154	the	O
154	patient	O
154	to	O
154	increase	O
154	dosage	O
154	of	O
154	Gabapentin	B-CHEMICAL
154	due	O
154	to	O
154	worsening	O
154	atrial	B-DISEASE
154	fibrillation	I-DISEASE
154	.	O
		
232	The	O
232	colonoscopy	O
232	revealed	O
232	abnormalities	O
232	in	O
232	the	O
232	cervical	O
232	spine	O
232	,	O
232	suggesting	O
232	early-stage	B-DISEASE
232	gastric	I-DISEASE
232	ulcer	I-DISEASE
232	.	O
		
228	No	O
228	evidence	O
228	of	O
228	bronchial	B-DISEASE
228	asthma	I-DISEASE
228	was	O
228	found	O
