Sentence_ID	Token	BIO_Tag
1	Il	O
1	paziente	O
1	di	O
1	65	O
1	anni	O
1	presenta	O
1	una	O
1	storia	O
1	clinica	O
1	di	O
1	Diabete	B-DISEASE
1	di	I-DISEASE
1	Tipo	I-DISEASE
1	2	I-DISEASE
1	e	O
1	ipertensione	B-DISEASE
1	arteriosa	I-DISEASE
1	.	O
		
2	Prescritto	O
2	trattamento	O
2	con	O
2	Metformina	B-DRUG
2	500	O
2	mg	O
2	due	O
2	volte	O
2	al	O
2	giorno	O
2	dopo	O
2	i	O
2	pasti	O
2	.	O
		
3	La	O
3	risonanza	B-PROCEDURE
3	magnetica	I-PROCEDURE
3	(	O
3	MRI	B-PROCEDURE
3	)	O
3	al	O
3	polmone	B-ANATOMY
3	sinistro	I-ANATOMY
3	ha	O
3	rivelato	O
3	segni	O
3	compatibili	O
3	con	O
3	una	O
3	lieve	O
3	polmonite	B-DISEASE
3	.	O
		
4	Paziente	O
4	intubato	O
4	a	O
4	causa	O
4	di	O
4	gravi	O
4	complicazioni	O
4	respiratorie	O
4	da	O
4	COVID-19	B-DISEASE
4	nel	O
4	reparto	O
4	di	O
4	terapia	O
4	intensiva	O
4	.	O
		
5	Si	O
5	consiglia	O
5	riposo	O
5	assoluto	O
5	e	O
5	assunzione	O
5	di	O
5	Ibuprofene	B-DRUG
5	400	O
5	mg	O
5	per	O
5	il	O
5	dolore	O
5	acuto	O
5	al	O
5	femore	B-ANATOMY
5	destro	I-ANATOMY
5	.	O
		
6	Nessun	O
6	segno	O
6	di	O
6	reazione	O
6	avversa	O
6	al	O
6	Trastuzumab	B-DRUG
6	emtansine	I-DRUG
6	durante	O
6	l'	O
6	ultimo	O
6	ciclo	O
6	di	O
6	chemioterapia	O
6	.	O
		
7	Il	O
7	soggetto	O
7	nega	O
7	allergie	O
7	a	O
7	farmaci	O
7	noti	O
7	,	O
7	ma	O
7	riporta	O
7	episodi	O
7	di	O
7	asma	O
7	infantile	O
7	.	O
		
8	L'	O
8	esame	O
8	emocromocitometrico	O
8	(	O
8	CBC	O
8	)	O
8	risulta	O
8	nella	O
8	norma	O
8	,	O
8	si	O
8	procede	O
8	con	O
8	la	O
8	valutazione	O
8	per	O
8	la	O
8	dimissione	O
8	.	O
		
9	Sospetta	O
9	lesione	O
9	del	O
9	legamento	O
9	collaterale	O
9	ulnare	O
9	,	O
9	il	O
9	paziente	O
9	è	O
9	in	O
9	attesa	O
9	di	O
9	ricostruzione	O
9	chirurgica	O
9	.	O
		
10	Somministrati	O
10	50	O
10	mg	O
10	di	O
10	Aspirina	B-DRUG
10	al	O
10	giorno	O
10	per	O
10	la	O
10	profilassi	O
10	di	O
10	eventi	O
10	cardiovascolari	O
10	.	O
		
11	Si	O
11	osserva	O
11	una	O
11	marcata	O
11	ipercolesterolemia	O
11	,	O
11	si	O
11	suggerisce	O
11	l'	O
11	inizio	O
11	di	O
11	una	O
11	terapia	O
11	con	O
11	statine	O
11	.	O
		
12	Il	O
12	Dott	O
12	.	O
12	Rossi	O
12	dell'	O
12	Ospedale	O
12	Santo	O
12	Spirito	O
12	ha	O
12	confermato	O
12	la	O
12	diagnosi	O
12	di	O
12	appendicite	B-DISEASE
12	acuta	I-DISEASE
12	.	O
		
13	L'	O
13	elettrocardiogramma	B-PROCEDURE
13	non	O
13	mostra	O
13	alterazioni	O
13	ischemiche	O
13	acute	O
13	del	O
13	miocardio	B-ANATOMY
13	.	O
		
14	Paziente	O
14	giunto	O
14	in	O
14	Pronto	O
14	Soccorso	O
14	per	O
14	sospetto	O
14	infarto	B-DISEASE
14	miocardico	I-DISEASE
14	acuto	I-DISEASE
14	;	O
14	somministrata	O
14	nitroglicerina	O
14	sublinguale	O
14	.	O
		
15	Si	O
15	richiede	O
15	una	O
15	TAC	B-PROCEDURE
15	cranio	O
15	senza	O
15	mezzo	O
15	di	O
15	contrasto	O
15	per	O
15	escludere	O
15	emorragie	O
15	nel	O
15	lobo	O
15	frontale	O
15	.	O
		
16	La	O
16	paziente	O
16	lamenta	O
16	forte	O
16	emicrania	O
16	trattata	O
16	precedentemente	O
16	con	O
16	Paracetamolo	B-DRUG
16	senza	O
16	successo	O
16	.	O
		
17	Il	O
17	livello	O
17	di	O
17	glucosio	O
17	nel	O
17	sangue	O
17	a	O
17	digiuno	O
17	è	O
17	di	O
17	140	O
17	mg	O
17	/	O
17	dL	O
17	,	O
17	confermando	O
17	l'	O
17	iperglicemia	O
17	.	O
		
18	Programmata	O
18	un'	O
18	ecografia	O
18	addominale	O
18	per	O
18	la	O
18	valutazione	O
18	di	O
18	sospetti	O
18	calcoli	O
18	biliari	O
18	.	O
		
19	Effettuata	O
19	biopsia	B-PROCEDURE
19	epatica	I-PROCEDURE
19	sotto	O
19	guida	O
19	ecografica	O
19	;	O
19	in	O
19	attesa	O
19	dell'	O
19	esame	O
19	istologico	O
19	.	O
		
20	Si	O
20	segnala	O
20	ototossicità	O
20	probabile	O
20	a	O
20	seguito	O
20	del	O
20	trattamento	O
20	prolungato	O
20	con	O
20	antibiotici	O
20	aminoglicosidici	O
20	.	O
		
21	Il	O
21	padre	O
21	del	O
21	paziente	O
21	ha	O
21	una	O
21	storia	O
21	di	O
21	insufficienza	O
21	renale	O
21	cronica	O
21	.	O
		
22	Nessuna	O
22	evidenza	O
22	di	O
22	metastasi	O
22	ossee	O
22	alla	O
22	scintigrafia	O
22	total	O
22	body	O
22	.	O
		
23	Si	O
23	prescrive	O
23	Omeprazolo	O
23	20	O
23	mg	O
23	al	O
23	mattino	O
23	a	O
23	digiuno	O
23	per	O
23	la	O
23	malattia	O
23	da	O
23	reflusso	O
23	gastroesofageo	O
23	.	O
		
24	L'	O
24	esame	O
24	obiettivo	O
24	addominale	O
24	evidenzia	O
24	dolore	O
24	alla	O
24	palpazione	O
24	nel	O
24	quadrante	O
24	inferiore	O
24	destro	O
24	.	O
		
25	Paziente	O
25	ricoverato	O
25	per	O
25	fibrillazione	O
25	atriale	O
25	di	O
25	nuova	O
25	insorgenza	O
25	,	O
25	si	O
25	inizia	O
25	terapia	O
25	con	O
25	Eparina	B-DRUG
25	.	O
		
26	La	O
26	radiografia	O
26	del	O
26	torace	O
26	non	O
26	mostra	O
26	focolai	O
26	broncopneumonici	O
26	in	O
26	atto	O
26	.	O
		
27	Sospetto	O
27	glaucoma	O
27	ad	O
27	angolo	O
27	aperto	O
27	,	O
27	necessaria	O
27	visita	O
27	oculistica	O
27	approfondita	O
27	.	O
		
28	Somministrato	O
28	Diazepam	O
28	5	O
28	mg	O
28	per	O
28	via	O
28	endovenosa	O
28	per	O
28	sedare	O
28	la	O
28	crisi	O
28	epilettica	O
28	.	O
		
29	Il	O
29	paziente	O
29	riferisce	O
29	dispnea	O
29	da	O
29	sforzo	O
29	e	O
29	tosse	O
29	secca	O
29	persistente	O
29	da	O
29	due	O
29	settimane	O
29	.	O
		
30	L'	O
30	ecocolordoppler	O
30	dei	O
30	tronchi	O
30	sovraortici	O
30	evidenzia	O
30	placche	O
30	ateromasiche	O
30	bilaterali	O
30	.	O
		
31	Iniziato	O
31	ciclo	O
31	di	O
31	radioterapia	O
31	per	O
31	carcinoma	O
31	duttale	O
31	infiltrante	O
31	della	O
31	mammella	O
31	destra	O
31	.	O
		
32	Si	O
32	raccomanda	O
32	l'	O
32	uso	O
32	di	O
32	Salbutamolo	O
32	al	O
32	bisogno	O
32	per	O
32	il	O
32	controllo	O
32	degli	O
32	attacchi	O
32	asmatici	O
32	.	O
		
33	Esami	O
33	ematochimici	O
33	compatibili	O
33	con	O
33	grave	O
33	anemia	O
33	sideropenica	O
33	.	O
		
34	Il	O
34	test	O
34	rapido	O
34	per	O
34	lo	O
34	streptococco	O
34	beta	O
34	-	O
34	emolitico	O
34	di	O
34	gruppo	O
34	A	O
34	è	O
34	risultato	O
34	positivo	O
34	.	O
		
35	Paziente	O
35	in	O
35	follow	O
35	-	O
35	up	O
35	per	O
35	pregressa	O
35	asportazione	O
35	di	O
35	melanoma	O
35	cutaneo	O
35	.	O
		
36	La	O
36	madre	O
36	della	O
36	paziente	O
36	è	O
