token,true_tag,predicted_tag,error_type
fracture,B-DISEASE,O,B-DISEASE -> O
beta-hemolytic,B-DISEASE,O,B-DISEASE -> O
sclerosis,I-DISEASE,O,I-DISEASE -> O
ALS,B-DISEASE,O,B-DISEASE -> O
Administered,B-DISEASE,O,B-DISEASE -> O
per,O,B-CHEMICAL,O -> B-CHEMICAL
cardiovascular,O,B-DISEASE,O -> B-DISEASE
events,O,B-DISEASE,O -> B-DISEASE
diabetic,B-DISEASE,O,B-DISEASE -> O
neuropathy,I-DISEASE,O,I-DISEASE -> O
osteoarthritis,B-DISEASE,O,B-DISEASE -> O
coxarthrosis,B-DISEASE,O,B-DISEASE -> O
anemia,B-DISEASE,O,B-DISEASE -> O
acute,O,B-DISEASE,O -> B-DISEASE
appendicitis,B-DISEASE,I-DISEASE,B-DISEASE -> I-DISEASE
oral,B-CHEMICAL,O,B-CHEMICAL -> O
contraceptives,I-CHEMICAL,O,I-CHEMICAL -> O
years,O,B-DISEASE,O -> B-DISEASE
alcohol,B-CHEMICAL,O,B-CHEMICAL -> O
early-stage,B-DISEASE,O,B-DISEASE -> O
major,I-DISEASE,O,I-DISEASE -> O
depressive,I-DISEASE,B-DISEASE,I-DISEASE -> B-DISEASE
Omeprazole,B-CHEMICAL,O,B-CHEMICAL -> O
reflux,I-DISEASE,B-DISEASE,I-DISEASE -> B-DISEASE
acute,B-DISEASE,O,B-DISEASE -> O
pulmonary,I-DISEASE,O,I-DISEASE -> O
embolism,I-DISEASE,O,I-DISEASE -> O
Maternal,O,I-DISEASE,O -> I-DISEASE
aunt,O,I-DISEASE,O -> I-DISEASE
affected,O,I-DISEASE,O -> I-DISEASE
by,O,I-DISEASE,O -> I-DISEASE
metastatic,O,I-DISEASE,O -> I-DISEASE
breast,B-DISEASE,O,B-DISEASE -> O
cancer,I-DISEASE,O,I-DISEASE -> O
